symbol	file	table	violation_type	count	details
GLD	GLD.2023-06-05.sqlite	underlying_minute	NON_POSITIVE_PRICE	4	Min price: 0.00
GLD	GLD.2023-06-05.sqlite	underlying_minute	EXTREME_PRICE_MOVEMENT	1	Max change: 100.00%
GLD	GLD.2023-06-06.sqlite	underlying_minute	NON_POSITIVE_PRICE	1	Min price: 0.00
GLD	GLD.2023-06-06.sqlite	underlying_minute	EXTREME_PRICE_MOVEMENT	1	Max change: 100.00%
GLD	GLD.2023-06-08.sqlite	underlying_minute	NON_POSITIVE_PRICE	1	Min price: 0.00
GLD	GLD.2023-06-08.sqlite	underlying_minute	EXTREME_PRICE_MOVEMENT	1	Max change: 100.00%
GLD	GLD.2023-06-09.sqlite	underlying_minute	NON_POSITIVE_PRICE	1	Min price: 0.00
GLD	GLD.2023-06-09.sqlite	underlying_minute	EXTREME_PRICE_MOVEMENT	1	Max change: 100.00%
GLD	GLD.2023-06-15.sqlite	underlying_minute	NON_POSITIVE_PRICE	1	Min price: 0.00
GLD	GLD.2023-06-15.sqlite	underlying_minute	EXTREME_PRICE_MOVEMENT	1	Max change: 100.00%
GLD	GLD.2023-06-23.sqlite	underlying_minute	NON_POSITIVE_PRICE	1	Min price: 0.00
GLD	GLD.2023-06-23.sqlite	underlying_minute	EXTREME_PRICE_MOVEMENT	1	Max change: 100.00%
GLD	GLD.2023-06-26.sqlite	underlying_minute	NON_POSITIVE_PRICE	1	Min price: 0.00
GLD	GLD.2023-06-26.sqlite	underlying_minute	EXTREME_PRICE_MOVEMENT	1	Max change: 100.00%
GLD	GLD.2023-07-03.sqlite	underlying_minute	NON_POSITIVE_PRICE	177	Min price: 0.00
GLD	GLD.2023-07-03.sqlite	underlying_minute	EXTREME_PRICE_MOVEMENT	3	Max change: 100.00%
GLD	GLD.2023-07-07.sqlite	underlying_minute	NON_POSITIVE_PRICE	1	Min price: 0.00
GLD	GLD.2023-07-07.sqlite	underlying_minute	EXTREME_PRICE_MOVEMENT	1	Max change: 100.00%
GLD	GLD.2023-07-11.sqlite	underlying_minute	NON_POSITIVE_PRICE	1	Min price: 0.00
GLD	GLD.2023-07-11.sqlite	underlying_minute	EXTREME_PRICE_MOVEMENT	1	Max change: 100.00%
GLD	GLD.2023-07-14.sqlite	underlying_minute	NON_POSITIVE_PRICE	1	Min price: 0.00
GLD	GLD.2023-07-14.sqlite	underlying_minute	EXTREME_PRICE_MOVEMENT	1	Max change: 100.00%
GLD	GLD.2023-07-19.sqlite	underlying_minute	NON_POSITIVE_PRICE	1	Min price: 0.00
GLD	GLD.2023-07-19.sqlite	underlying_minute	EXTREME_PRICE_MOVEMENT	1	Max change: 100.00%
GLD	GLD.2023-07-25.sqlite	underlying_minute	NON_POSITIVE_PRICE	1	Min price: 0.00
GLD	GLD.2023-07-25.sqlite	underlying_minute	EXTREME_PRICE_MOVEMENT	1	Max change: 100.00%
GLD	GLD.2023-07-27.sqlite	underlying_minute	NON_POSITIVE_PRICE	1	Min price: 0.00
GLD	GLD.2023-07-27.sqlite	underlying_minute	EXTREME_PRICE_MOVEMENT	1	Max change: 100.00%
GLD	GLD.2023-07-28.sqlite	underlying_minute	NON_POSITIVE_PRICE	1	Min price: 0.00
GLD	GLD.2023-07-28.sqlite	underlying_minute	EXTREME_PRICE_MOVEMENT	1	Max change: 100.00%
GLD	GLD.2023-08-03.sqlite	underlying_minute	NON_POSITIVE_PRICE	1	Min price: 0.00
GLD	GLD.2023-08-03.sqlite	underlying_minute	EXTREME_PRICE_MOVEMENT	1	Max change: 100.00%
GLD	GLD.2023-08-04.sqlite	underlying_minute	NON_POSITIVE_PRICE	1	Min price: 0.00
GLD	GLD.2023-08-04.sqlite	underlying_minute	EXTREME_PRICE_MOVEMENT	1	Max change: 100.00%
GLD	GLD.2023-08-11.sqlite	underlying_minute	NON_POSITIVE_PRICE	2	Min price: 0.00
GLD	GLD.2023-08-11.sqlite	underlying_minute	EXTREME_PRICE_MOVEMENT	2	Max change: 100.00%
GLD	GLD.2023-08-14.sqlite	underlying_minute	NON_POSITIVE_PRICE	1	Min price: 0.00
GLD	GLD.2023-08-14.sqlite	underlying_minute	EXTREME_PRICE_MOVEMENT	1	Max change: 100.00%
GLD	GLD.2023-08-21.sqlite	underlying_minute	NON_POSITIVE_PRICE	1	Min price: 0.00
GLD	GLD.2023-08-21.sqlite	underlying_minute	EXTREME_PRICE_MOVEMENT	1	Max change: 100.00%
GLD	GLD.2023-08-22.sqlite	underlying_minute	NON_POSITIVE_PRICE	1	Min price: 0.00
GLD	GLD.2023-08-22.sqlite	underlying_minute	EXTREME_PRICE_MOVEMENT	1	Max change: 100.00%
GLD	GLD.2023-09-06.sqlite	underlying_minute	NON_POSITIVE_PRICE	2	Min price: 0.00
GLD	GLD.2023-09-06.sqlite	underlying_minute	EXTREME_PRICE_MOVEMENT	2	Max change: 100.00%
GLD	GLD.2023-09-08.sqlite	underlying_minute	NON_POSITIVE_PRICE	1	Min price: 0.00
GLD	GLD.2023-09-08.sqlite	underlying_minute	EXTREME_PRICE_MOVEMENT	1	Max change: 100.00%
GLD	GLD.2023-09-11.sqlite	underlying_minute	NON_POSITIVE_PRICE	2	Min price: 0.00
GLD	GLD.2023-09-11.sqlite	underlying_minute	EXTREME_PRICE_MOVEMENT	2	Max change: 100.00%
GLD	GLD.2023-09-13.sqlite	underlying_minute	NON_POSITIVE_PRICE	3	Min price: 0.00
GLD	GLD.2023-09-13.sqlite	underlying_minute	EXTREME_PRICE_MOVEMENT	2	Max change: 100.00%
