symbol	file	date	status
GLD	GLD.2023-06-01.sqlite	2023-06-01	MISSING_OPTIONS
GLD	GLD.2023-06-02.sqlite	2023-06-02	MISSING_OPTIONS
GLD	GLD.2023-06-05.sqlite	2023-06-05	MISSING_OPTIONS
GLD	GLD.2023-06-06.sqlite	2023-06-06	MISSING_OPTIONS
GLD	GLD.2023-06-07.sqlite	2023-06-07	MISSING_OPTIONS
GLD	GLD.2023-06-08.sqlite	2023-06-08	MISSING_OPTIONS
GLD	GLD.2023-06-09.sqlite	2023-06-09	MISSING_OPTIONS
GLD	GLD.2023-06-12.sqlite	2023-06-12	MISSING_OPTIONS
GLD	GLD.2023-06-13.sqlite	2023-06-13	MISSING_OPTIONS
GLD	GLD.2023-06-14.sqlite	2023-06-14	MISSING_OPTIONS
GLD	GLD.2023-06-15.sqlite	2023-06-15	MISSING_OPTIONS
GLD	GLD.2023-06-16.sqlite	2023-06-16	MISSING_OPTIONS
GLD	GLD.2023-06-20.sqlite	2023-06-20	MISSING_OPTIONS
GLD	GLD.2023-06-21.sqlite	2023-06-21	MISSING_OPTIONS
GLD	GLD.2023-06-22.sqlite	2023-06-22	MISSING_OPTIONS
GLD	GLD.2023-06-23.sqlite	2023-06-23	MISSING_OPTIONS
GLD	GLD.2023-06-26.sqlite	2023-06-26	MISSING_OPTIONS
GLD	GLD.2023-06-27.sqlite	2023-06-27	MISSING_OPTIONS
GLD	GLD.2023-06-28.sqlite	2023-06-28	MISSING_OPTIONS
GLD	GLD.2023-06-29.sqlite	2023-06-29	MISSING_OPTIONS
GLD	GLD.2023-06-30.sqlite	2023-06-30	MISSING_OPTIONS
GLD	GLD.2023-07-03.sqlite	2023-07-03	MISSING_OPTIONS
GLD	GLD.2023-07-05.sqlite	2023-07-05	MISSING_OPTIONS
GLD	GLD.2023-07-06.sqlite	2023-07-06	MISSING_OPTIONS
GLD	GLD.2023-07-07.sqlite	2023-07-07	MISSING_OPTIONS
GLD	GLD.2023-07-10.sqlite	2023-07-10	MISSING_OPTIONS
GLD	GLD.2023-07-11.sqlite	2023-07-11	MISSING_OPTIONS
GLD	GLD.2023-07-12.sqlite	2023-07-12	MISSING_OPTIONS
GLD	GLD.2023-07-13.sqlite	2023-07-13	MISSING_OPTIONS
GLD	GLD.2023-07-14.sqlite	2023-07-14	MISSING_OPTIONS
GLD	GLD.2023-07-17.sqlite	2023-07-17	MISSING_OPTIONS
GLD	GLD.2023-07-18.sqlite	2023-07-18	MISSING_OPTIONS
GLD	GLD.2023-07-19.sqlite	2023-07-19	MISSING_OPTIONS
GLD	GLD.2023-07-20.sqlite	2023-07-20	MISSING_OPTIONS
GLD	GLD.2023-07-21.sqlite	2023-07-21	MISSING_OPTIONS
GLD	GLD.2023-07-24.sqlite	2023-07-24	MISSING_OPTIONS
GLD	GLD.2023-07-25.sqlite	2023-07-25	MISSING_OPTIONS
GLD	GLD.2023-07-26.sqlite	2023-07-26	MISSING_OPTIONS
GLD	GLD.2023-07-27.sqlite	2023-07-27	MISSING_OPTIONS
GLD	GLD.2023-07-28.sqlite	2023-07-28	MISSING_OPTIONS
GLD	GLD.2023-07-31.sqlite	2023-07-31	MISSING_OPTIONS
GLD	GLD.2023-08-01.sqlite	2023-08-01	MISSING_OPTIONS
GLD	GLD.2023-08-02.sqlite	2023-08-02	MISSING_OPTIONS
GLD	GLD.2023-08-03.sqlite	2023-08-03	MISSING_OPTIONS
GLD	GLD.2023-08-04.sqlite	2023-08-04	MISSING_OPTIONS
GLD	GLD.2023-08-07.sqlite	2023-08-07	MISSING_OPTIONS
GLD	GLD.2023-08-08.sqlite	2023-08-08	MISSING_OPTIONS
GLD	GLD.2023-08-09.sqlite	2023-08-09	MISSING_OPTIONS
GLD	GLD.2023-08-10.sqlite	2023-08-10	MISSING_OPTIONS
GLD	GLD.2023-08-11.sqlite	2023-08-11	MISSING_OPTIONS
GLD	GLD.2023-08-14.sqlite	2023-08-14	MISSING_OPTIONS
GLD	GLD.2023-08-15.sqlite	2023-08-15	MISSING_OPTIONS
GLD	GLD.2023-08-16.sqlite	2023-08-16	MISSING_OPTIONS
GLD	GLD.2023-08-17.sqlite	2023-08-17	MISSING_OPTIONS
GLD	GLD.2023-08-18.sqlite	2023-08-18	MISSING_OPTIONS
GLD	GLD.2023-08-21.sqlite	2023-08-21	MISSING_OPTIONS
GLD	GLD.2023-08-22.sqlite	2023-08-22	MISSING_OPTIONS
GLD	GLD.2023-08-23.sqlite	2023-08-23	MISSING_OPTIONS
GLD	GLD.2023-08-24.sqlite	2023-08-24	MISSING_OPTIONS
GLD	GLD.2023-08-25.sqlite	2023-08-25	MISSING_OPTIONS
GLD	GLD.2023-08-28.sqlite	2023-08-28	MISSING_OPTIONS
GLD	GLD.2023-08-29.sqlite	2023-08-29	MISSING_OPTIONS
GLD	GLD.2023-08-30.sqlite	2023-08-30	MISSING_OPTIONS
GLD	GLD.2023-08-31.sqlite	2023-08-31	MISSING_OPTIONS
GLD	GLD.2023-09-01.sqlite	2023-09-01	MISSING_OPTIONS
GLD	GLD.2023-09-05.sqlite	2023-09-05	MISSING_OPTIONS
GLD	GLD.2023-09-06.sqlite	2023-09-06	MISSING_OPTIONS
GLD	GLD.2023-09-07.sqlite	2023-09-07	MISSING_OPTIONS
GLD	GLD.2023-09-08.sqlite	2023-09-08	MISSING_OPTIONS
GLD	GLD.2023-09-11.sqlite	2023-09-11	MISSING_OPTIONS
GLD	GLD.2023-09-12.sqlite	2023-09-12	MISSING_OPTIONS
GLD	GLD.2023-09-13.sqlite	2023-09-13	MISSING_OPTIONS
GLD	GLD.2023-09-14.sqlite	2023-09-14	MISSING_OPTIONS
GLD	GLD.2023-09-15.sqlite	2023-09-15	MISSING_OPTIONS
GLD	GLD.2023-09-18.sqlite	2023-09-18	MISSING_OPTIONS
GLD	GLD.2023-09-19.sqlite	2023-09-19	MISSING_OPTIONS
GLD	GLD.2023-09-20.sqlite	2023-09-20	MISSING_OPTIONS
GLD	GLD.2023-09-21.sqlite	2023-09-21	MISSING_OPTIONS
GLD	GLD.2023-09-22.sqlite	2023-09-22	MISSING_OPTIONS
GLD	GLD.2023-09-25.sqlite	2023-09-25	MISSING_OPTIONS
GLD	GLD.2023-09-26.sqlite	2023-09-26	MISSING_OPTIONS
GLD	GLD.2023-09-27.sqlite	2023-09-27	MISSING_OPTIONS
GLD	GLD.2023-09-28.sqlite	2023-09-28	MISSING_OPTIONS
GLD	GLD.2023-09-29.sqlite	2023-09-29	MISSING_OPTIONS
GLD	GLD.2023-10-02.sqlite	2023-10-02	MISSING_OPTIONS
GLD	GLD.2023-10-03.sqlite	2023-10-03	MISSING_OPTIONS
GLD	GLD.2023-10-04.sqlite	2023-10-04	MISSING_OPTIONS
GLD	GLD.2023-10-05.sqlite	2023-10-05	MISSING_OPTIONS
GLD	GLD.2023-10-06.sqlite	2023-10-06	MISSING_OPTIONS
GLD	GLD.2023-10-09.sqlite	2023-10-09	MISSING_OPTIONS
GLD	GLD.2023-10-10.sqlite	2023-10-10	MISSING_OPTIONS
GLD	GLD.2023-10-11.sqlite	2023-10-11	MISSING_OPTIONS
GLD	GLD.2023-10-12.sqlite	2023-10-12	MISSING_OPTIONS
GLD	GLD.2023-10-13.sqlite	2023-10-13	MISSING_OPTIONS
GLD	GLD.2023-10-16.sqlite	2023-10-16	MISSING_OPTIONS
GLD	GLD.2023-10-17.sqlite	2023-10-17	MISSING_OPTIONS
GLD	GLD.2023-10-18.sqlite	2023-10-18	MISSING_OPTIONS
GLD	GLD.2023-10-19.sqlite	2023-10-19	MISSING_OPTIONS
GLD	GLD.2023-10-20.sqlite	2023-10-20	MISSING_OPTIONS
GLD	GLD.2023-10-23.sqlite	2023-10-23	MISSING_OPTIONS
GLD	GLD.2023-10-24.sqlite	2023-10-24	MISSING_OPTIONS
GLD	GLD.2023-10-25.sqlite	2023-10-25	MISSING_OPTIONS
GLD	GLD.2023-10-26.sqlite	2023-10-26	MISSING_OPTIONS
GLD	GLD.2023-10-27.sqlite	2023-10-27	MISSING_OPTIONS
GLD	GLD.2023-10-30.sqlite	2023-10-30	MISSING_OPTIONS
GLD	GLD.2023-10-31.sqlite	2023-10-31	MISSING_OPTIONS
GLD	GLD.2023-11-01.sqlite	2023-11-01	MISSING_OPTIONS
GLD	GLD.2023-11-02.sqlite	2023-11-02	MISSING_OPTIONS
GLD	GLD.2023-11-03.sqlite	2023-11-03	MISSING_OPTIONS
GLD	GLD.2023-11-06.sqlite	2023-11-06	MISSING_OPTIONS
GLD	GLD.2023-11-07.sqlite	2023-11-07	MISSING_OPTIONS
GLD	GLD.2023-11-08.sqlite	2023-11-08	MISSING_OPTIONS
GLD	GLD.2023-11-09.sqlite	2023-11-09	MISSING_OPTIONS
GLD	GLD.2023-11-10.sqlite	2023-11-10	MISSING_OPTIONS
GLD	GLD.2023-11-13.sqlite	2023-11-13	MISSING_OPTIONS
GLD	GLD.2023-11-14.sqlite	2023-11-14	MISSING_OPTIONS
GLD	GLD.2023-11-15.sqlite	2023-11-15	MISSING_OPTIONS
GLD	GLD.2023-11-16.sqlite	2023-11-16	MISSING_OPTIONS
GLD	GLD.2023-11-17.sqlite	2023-11-17	MISSING_OPTIONS
GLD	GLD.2023-11-20.sqlite	2023-11-20	MISSING_OPTIONS
GLD	GLD.2023-11-21.sqlite	2023-11-21	MISSING_OPTIONS
GLD	GLD.2023-11-22.sqlite	2023-11-22	MISSING_OPTIONS
GLD	GLD.2023-11-24.sqlite	2023-11-24	MISSING_OPTIONS
GLD	GLD.2023-11-27.sqlite	2023-11-27	MISSING_OPTIONS
GLD	GLD.2023-11-28.sqlite	2023-11-28	MISSING_OPTIONS
GLD	GLD.2023-11-29.sqlite	2023-11-29	MISSING_OPTIONS
GLD	GLD.2023-11-30.sqlite	2023-11-30	MISSING_OPTIONS
GLD	GLD.2023-12-01.sqlite	2023-12-01	MISSING_OPTIONS
GLD	GLD.2023-12-04.sqlite	2023-12-04	MISSING_OPTIONS
GLD	GLD.2023-12-05.sqlite	2023-12-05	MISSING_OPTIONS
GLD	GLD.2023-12-06.sqlite	2023-12-06	MISSING_OPTIONS
GLD	GLD.2023-12-07.sqlite	2023-12-07	MISSING_OPTIONS
GLD	GLD.2023-12-08.sqlite	2023-12-08	MISSING_OPTIONS
GLD	GLD.2023-12-11.sqlite	2023-12-11	MISSING_OPTIONS
GLD	GLD.2023-12-12.sqlite	2023-12-12	MISSING_OPTIONS
GLD	GLD.2023-12-13.sqlite	2023-12-13	MISSING_OPTIONS
GLD	GLD.2023-12-14.sqlite	2023-12-14	MISSING_OPTIONS
GLD	GLD.2023-12-15.sqlite	2023-12-15	MISSING_OPTIONS
GLD	GLD.2023-12-18.sqlite	2023-12-18	MISSING_OPTIONS
GLD	GLD.2023-12-19.sqlite	2023-12-19	MISSING_OPTIONS
GLD	GLD.2023-12-20.sqlite	2023-12-20	MISSING_OPTIONS
GLD	GLD.2023-12-21.sqlite	2023-12-21	MISSING_OPTIONS
GLD	GLD.2023-12-22.sqlite	2023-12-22	MISSING_OPTIONS
GLD	GLD.2023-12-26.sqlite	2023-12-26	MISSING_OPTIONS
GLD	GLD.2023-12-27.sqlite	2023-12-27	MISSING_OPTIONS
GLD	GLD.2023-12-28.sqlite	2023-12-28	MISSING_OPTIONS
GLD	GLD.2023-12-29.sqlite	2023-12-29	MISSING_OPTIONS
GLD	GLD.2024-01-02.sqlite	2024-01-02	MISSING_OPTIONS
GLD	GLD.2024-01-03.sqlite	2024-01-03	MISSING_OPTIONS
GLD	GLD.2024-01-04.sqlite	2024-01-04	MISSING_OPTIONS
GLD	GLD.2024-01-05.sqlite	2024-01-05	MISSING_OPTIONS
GLD	GLD.2024-01-08.sqlite	2024-01-08	MISSING_OPTIONS
GLD	GLD.2024-01-09.sqlite	2024-01-09	MISSING_OPTIONS
GLD	GLD.2024-01-10.sqlite	2024-01-10	MISSING_OPTIONS
GLD	GLD.2024-01-11.sqlite	2024-01-11	MISSING_OPTIONS
GLD	GLD.2024-01-12.sqlite	2024-01-12	MISSING_OPTIONS
GLD	GLD.2024-01-16.sqlite	2024-01-16	MISSING_OPTIONS
GLD	GLD.2024-01-17.sqlite	2024-01-17	MISSING_OPTIONS
GLD	GLD.2024-01-18.sqlite	2024-01-18	MISSING_OPTIONS
GLD	GLD.2024-01-19.sqlite	2024-01-19	MISSING_OPTIONS
GLD	GLD.2024-01-22.sqlite	2024-01-22	MISSING_OPTIONS
GLD	GLD.2024-01-23.sqlite	2024-01-23	MISSING_OPTIONS
GLD	GLD.2024-01-24.sqlite	2024-01-24	MISSING_OPTIONS
GLD	GLD.2024-01-25.sqlite	2024-01-25	MISSING_OPTIONS
