symbol	file	date	table	minute_count	record_count	expected_minutes	session_type	issue	status
GLD	GLD.2023-06-05.sqlite	2076-11-06	underlying_minute	327	327	390	Full Session	Only 327/390 minutes (83.8%)	PARTIAL
GLD	GLD.2023-06-05.sqlite	2076-11-07	underlying_minute	61	61	0	Market Closed	Data found on closed market day (Market Closed)	DATA_ON_HOLIDAY
GLD	GLD.2023-06-06.sqlite	2076-11-08	underlying_minute	329	329	0	Market Closed	Data found on closed market day (Market Closed)	DATA_ON_HOLIDAY
GLD	GLD.2023-06-06.sqlite	2076-11-09	underlying_minute	61	61	390	Full Session	Only 61/390 minutes (15.6%)	CRITICAL
GLD	GLD.2023-06-07.sqlite	2076-11-10	underlying_minute	329	329	390	Full Session	Only 329/390 minutes (84.4%)	PARTIAL
GLD	GLD.2023-06-07.sqlite	2076-11-11	underlying_minute	61	61	390	Full Session	Only 61/390 minutes (15.6%)	CRITICAL
GLD	GLD.2023-06-08.sqlite	2076-11-12	underlying_minute	329	329	390	Full Session	Only 329/390 minutes (84.4%)	PARTIAL
GLD	GLD.2023-06-08.sqlite	2076-11-13	underlying_minute	61	61	390	Full Session	Only 61/390 minutes (15.6%)	CRITICAL
GLD	GLD.2023-06-09.sqlite	2076-11-14	underlying_minute	329	329	0	Market Closed	Data found on closed market day (Market Closed)	DATA_ON_HOLIDAY
GLD	GLD.2023-06-09.sqlite	2076-11-15	underlying_minute	61	61	0	Market Closed	Data found on closed market day (Market Closed)	DATA_ON_HOLIDAY
SPX	SPX.2023-06-05.sqlite	2076-11-07	underlying_minute	61	61	0	Market Closed	Data found on closed market day (Market Closed)	DATA_ON_HOLIDAY
SPX	SPX.2023-06-06.sqlite	2076-11-08	underlying_minute	720	720	0	Market Closed	Data found on closed market day (Market Closed)	DATA_ON_HOLIDAY
SPX	SPX.2023-06-06.sqlite	2076-11-09	underlying_minute	61	61	390	Full Session	Only 61/390 minutes (15.6%)	CRITICAL
SPX	SPX.2023-06-07.sqlite	2076-11-10	underlying_minute	329	329	390	Full Session	Only 329/390 minutes (84.4%)	PARTIAL
SPX	SPX.2023-06-07.sqlite	2076-11-11	underlying_minute	61	61	390	Full Session	Only 61/390 minutes (15.6%)	CRITICAL
SPX	SPX.2023-06-08.sqlite	2076-11-12	underlying_minute	329	329	390	Full Session	Only 329/390 minutes (84.4%)	PARTIAL
SPX	SPX.2023-06-08.sqlite	2076-11-13	underlying_minute	61	61	390	Full Session	Only 61/390 minutes (15.6%)	CRITICAL
SPX	SPX.2023-06-09.sqlite	2076-11-14	underlying_minute	329	329	0	Market Closed	Data found on closed market day (Market Closed)	DATA_ON_HOLIDAY
SPX	SPX.2023-06-09.sqlite	2076-11-15	underlying_minute	61	61	0	Market Closed	Data found on closed market day (Market Closed)	DATA_ON_HOLIDAY
USO	USO.2023-06-05.sqlite	2076-11-06	underlying_minute	327	327	390	Full Session	Only 327/390 minutes (83.8%)	PARTIAL
USO	USO.2023-06-05.sqlite	2076-11-07	underlying_minute	61	61	0	Market Closed	Data found on closed market day (Market Closed)	DATA_ON_HOLIDAY
USO	USO.2023-06-06.sqlite	2076-11-08	underlying_minute	329	329	0	Market Closed	Data found on closed market day (Market Closed)	DATA_ON_HOLIDAY
USO	USO.2023-06-06.sqlite	2076-11-09	underlying_minute	61	61	390	Full Session	Only 61/390 minutes (15.6%)	CRITICAL
USO	USO.2023-06-07.sqlite	2076-11-10	underlying_minute	329	329	390	Full Session	Only 329/390 minutes (84.4%)	PARTIAL
USO	USO.2023-06-07.sqlite	2076-11-11	underlying_minute	61	61	390	Full Session	Only 61/390 minutes (15.6%)	CRITICAL
USO	USO.2023-06-08.sqlite	2076-11-12	underlying_minute	329	329	390	Full Session	Only 329/390 minutes (84.4%)	PARTIAL
USO	USO.2023-06-08.sqlite	2076-11-13	underlying_minute	61	61	390	Full Session	Only 61/390 minutes (15.6%)	CRITICAL
USO	USO.2023-06-09.sqlite	2076-11-14	underlying_minute	329	329	0	Market Closed	Data found on closed market day (Market Closed)	DATA_ON_HOLIDAY
USO	USO.2023-06-09.sqlite	2076-11-15	underlying_minute	61	61	0	Market Closed	Data found on closed market day (Market Closed)	DATA_ON_HOLIDAY
